filename,kind,model,date,time_ref,geometry,cutoff,origin,nativefmt,start,stop,step,dispo_time,block,namespace,alternate
france_jj1_[date]_01,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,1,48,1,1,MAJ01,vortex.cache.fr,
france_jj1_[date]_02,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,2,48,1,2,MAJ02,vortex.cache.fr,france_jj1_[date]_01
france_jj1_[date]_03,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,3,48,1,3,MAJ03,vortex.cache.fr,france_jj1_[date]_02
france_jj1_[date]_04,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,4,48,1,4,MAJ04,vortex.cache.fr,france_jj1_[date]_03
france_jj1_[date]_05,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,5,48,1,5,MAJ05,vortex.cache.fr,france_jj1_[date]_04
france_jj1_[date]_06,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,6,48,1,6,MAJ06,vortex.cache.fr,france_jj1_[date]_05
france_jj1_[date]_07,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,7,48,1,7,MAJ07,vortex.cache.fr,france_jj1_[date]_06
france_jj1_[date]_08,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,8,48,1,8,MAJ08,vortex.cache.fr,france_jj1_[date]_07
france_jj1_[date]_09,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,9,48,1,9,MAJ09,vortex.cache.fr,france_jj1_[date]_08
france_jj1_[date]_10,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,10,48,1,10,MAJ10,vortex.cache.fr,france_jj1_[date]_09
france_jj1_[date]_11,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,11,48,1,11,MAJ11,vortex.cache.fr,france_jj1_[date]_10
france_jj1_[date]_12,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,12,48,1,12,MAJ12,vortex.cache.fr,france_jj1_[date]_11
france_jj1_[date]_13,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,13,48,1,13,MAJ13,vortex.cache.fr,france_jj1_[date]_12
france_jj1_[date]_14,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,14,48,1,14,MAJ14,vortex.cache.fr,france_jj1_[date]_13
france_jj1_[date]_15,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,15,48,1,15,MAJ15,vortex.cache.fr,france_jj1_[date]_14
france_jj1_[date]_16,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,16,48,1,16,MAJ16,vortex.cache.fr,france_jj1_[date]_15
france_jj1_[date]_17,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,17,48,1,17,MAJ17,vortex.cache.fr,france_jj1_[date]_16
france_jj1_[date]_18,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,18,48,1,18,MAJ18,vortex.cache.fr,france_jj1_[date]_17
france_jj1_[date]_19,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,19,48,1,19,MAJ19,vortex.cache.fr,france_jj1_[date]_18
france_jj1_[date]_20,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,20,48,1,20,MAJ20,vortex.cache.fr,france_jj1_[date]_19
france_jj1_[date]_21,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,21,48,1,21,MAJ21,vortex.cache.fr,france_jj1_[date]_20
france_jj1_[date]_22,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,22,48,1,22,MAJ22,vortex.cache.fr,france_jj1_[date]_21
france_jj1_[date]_23,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,23,48,1,23,MAJ23,vortex.cache.fr,france_jj1_[date]_22
france_j2j3_[date]_01,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,1,MAJ01,vortex.cache.fr,
france_j2j3_[date]_02,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,2,MAJ02,vortex.cache.fr,france_j2j3_[date]_01
france_j2j3_[date]_03,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,3,MAJ03,vortex.cache.fr,france_j2j3_[date]_02
france_j2j3_[date]_04,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,4,MAJ04,vortex.cache.fr,france_j2j3_[date]_03
france_j2j3_[date]_05,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,5,MAJ05,vortex.cache.fr,france_j2j3_[date]_04
france_j2j3_[date]_06,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,6,MAJ06,vortex.cache.fr,france_j2j3_[date]_05
france_j2j3_[date]_07,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,7,MAJ07,vortex.cache.fr,france_j2j3_[date]_06
france_j2j3_[date]_08,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,8,MAJ08,vortex.cache.fr,france_j2j3_[date]_07
france_j2j3_[date]_09,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,9,MAJ09,vortex.cache.fr,france_j2j3_[date]_08
france_j2j3_[date]_10,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,10,MAJ10,vortex.cache.fr,france_j2j3_[date]_09
france_j2j3_[date]_11,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,11,MAJ11,vortex.cache.fr,france_j2j3_[date]_10
france_j2j3_[date]_12,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,12,MAJ12,vortex.cache.fr,france_j2j3_[date]_11
france_j2j3_[date]_13,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,13,MAJ13,vortex.cache.fr,france_j2j3_[date]_12
france_j2j3_[date]_14,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,14,MAJ14,vortex.cache.fr,france_j2j3_[date]_13
france_j2j3_[date]_15,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,15,MAJ15,vortex.cache.fr,france_j2j3_[date]_14
france_j2j3_[date]_16,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,16,MAJ16,vortex.cache.fr,france_j2j3_[date]_15
france_j2j3_[date]_17,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,17,MAJ17,vortex.cache.fr,france_j2j3_[date]_16
france_j2j3_[date]_18,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,18,MAJ18,vortex.cache.fr,france_j2j3_[date]_17
france_j2j3_[date]_19,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,19,MAJ19,vortex.cache.fr,france_j2j3_[date]_18
france_j2j3_[date]_20,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,20,MAJ20,vortex.cache.fr,france_j2j3_[date]_19
france_j2j3_[date]_21,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,21,MAJ21,vortex.cache.fr,france_j2j3_[date]_20
france_j2j3_[date]_22,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,22,MAJ22,vortex.cache.fr,france_j2j3_[date]_21
france_j2j3_[date]_23,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,51,96,3,23,MAJ23,vortex.cache.fr,france_j2j3_[date]_22
monde_j4j14_[date]_maj11,promethee_gridpoint,promethee,0,utc,globd025,production,post,netcdf,99,195,3,11,MAJ11,vortex.cache.fr,monde_j4j14_[date-1]_maj22
monde_j4j14_[date]_maj22,promethee_gridpoint,promethee,0,utc,globd025,production,post,netcdf,99,195,3,22,MAJ22,vortex.cache.fr,monde_j4j14_[date]_maj11
france_h36_[date]_maj03,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,3,33,1,3,MAJ03,vortex.cache.fr,france_h36_[date-1]_maj20
france_h36_[date]_maj07,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,7,39,1,7,MAJ07,vortex.cache.fr,france_h36_[date]_maj03
france_h36_[date]_maj15,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,15,45,1,15,MAJ15,vortex.cache.fr,france_h36_[date]_maj07
france_h36_[date]_maj20,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,20,51,1,20,MAJ20,vortex.cache.fr,france_h36_[date-1]_maj15
france_jj3_[date]_maj02,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,2,96,1,2,MAJ02,vortex.cache.fr,france_jj3_[date-1]_maj19
france_jj3_[date]_maj07,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,7,96,1,7,MAJ07,vortex.cache.fr,france_jj3_[date]_maj02
france_jj3_[date]_maj13,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,13,96,1,13,MAJ13,vortex.cache.fr,france_jj3_[date]_maj07
france_jj3_[date]_maj19,promethee_gridpoint,promethee,0,utc,franxl1s100,production,post,netcdf,19,96,1,19,MAJ19,vortex.cache.fr,france_jj3_[date-1]_maj13
france_jj14_[date]_maj05,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,5,MAJ05,vortex.cache.fr,france_jj14_[date-1]_maj00
france_jj14_[date]_maj08,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,8,MAJ08,vortex.cache.fr,france_jj14_[date]_maj05
france_jj14_[date]_maj17,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,17,MAJ17,vortex.cache.fr,france_jj14_[date]_maj08
france_jj14_[date]_maj00,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,0,MAJ00,vortex.cache.fr,france_jj14_[date]_maj17
