Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Advanced Science
Ca-A Cancer Journal for Clinicians,1154.2,"99.0%
1/415
Oncology",121190,105,94,201.167,145.004,John Wiley & Sons
Nature Reviews Drug Discovery,181.8,"99.0%
1/321
Pharmacology",32182,177,92,23.21,30.506,Springer Nature
Nature Reviews Clinical Oncology,114.5,"99.0%
2/415
Oncology",28505,249,93,14.181,28.675,Springer Nature
Nature Reviews Disease Primers,113.3,"99.0%
1/668
General Medicine",19833,175,83,28.493,17.995,Springer Nature
Nature Reviews Materials,105.5,"99.0%
1/324
Materials Chemistry",28378,269,82,11.021,19.43,Springer Nature
Nature Reviews Cancer,103.8,"99.0%
1/233
Cancer Research",23559,227,83,11.131,24.378,Springer Nature
Chemical Reviews,100.5,"99.0%
1/404
General Chemistry",102753,1022,96,11.092,16.455,American Chemical Society
New England Journal of Medicine,96.4,"99.0%
2/668
General Medicine",216262,2243,79,13.467,19.076,Massachussetts Medical Society
Reviews of Modern Physics,91.1,"99.0%
1/246
General Physics and Astronomy",12021,132,92,16.632,18.08,American Physical Society
The Lancet,87.6,"99.0%
3/668
General Medicine",155575,1776,79,22.724,12.113,Elsevier
IEEE Communications Surveys and Tutorials,86.2,"99.0%
1/970
Electrical and Electronic Engineering",27510,319,97,13.921,14.184,IEEE
Nature Reviews Immunology,84.7,"99.0%
1/240
Immunology",28274,334,78,8.357,17.458,Springer Nature
Nature,78.1,"99.0%
1/200
",390062,4992,94,10.161,18.288,Springer Nature
World Psychiatry,74.0,"99.0%
1/580
Psychiatry and Mental Health",6212,84,98,13.938,18.419,John Wiley & Sons
Chemical Society Reviews,73.2,"99.0%
2/404
General Chemistry",90796,1240,94,7.071,11.467,Royal Society of Chemistry
Nature Energy,73.0,"99.0%
1/297
Renewable Energy, Sustainability and the Environment",39648,543,90,7.32,17.599,Springer Nature
Proceedings of the IEEE,71.1,"99.0%
2/970
Electrical and Electronic Engineering",19976,281,91,11.377,6.247,IEEE
Annals of Oncology,70.4,"99.0%
4/415
Oncology",26834,381,99,10.485,19.072,Elsevier
Progress in Materials Science,70.0,"99.0%
1/460
General Materials Science",26103,373,99,8.943,8.566,Elsevier
Nature Reviews Earth and Environment,70.0,"99.0%
1/222
Nature and Landscape Conservation",17568,251,84,12.825,13.465,Springer Nature
The Lancet Diabetes and Endocrinology,64.2,"99.0%
1/247
Endocrinology, Diabetes and Metabolism",16946,264,94,11.269,12.19,Elsevier
The Lancet Neurology,62.6,"99.0%
1/400
Neurology (clinical)",22606,361,85,13.746,11.729,Elsevier
Nature Nanotechnology,62.2,"99.0%
1/443
Condensed Matter Physics",44687,719,94,6.477,14.612,Springer Nature
Nature Materials,61.8,"99.0%
1/720
Mechanical Engineering",50439,816,94,6.733,14.204,Springer Nature
Nature Biotechnology,58.8,"99.0%
1/314
Biotechnology",39000,663,90,6.431,19.006,Springer Nature
Nature Reviews Gastroenterology and Hepatology,58.7,"99.0%
1/173
Gastroenterology",21528,367,74,6.586,9.911,Springer Nature
Signal Transduction and Targeted Therapy,58.6,"99.0%
1/348
Genetics",64411,1099,87,7.309,12.135,Springer Nature
Cancer Cell,57.7,"98.0%
6/415
Oncology",28061,486,96,5.728,19.027,Elsevier
Nature Reviews Genetics,57.7,"99.0%
2/348
Genetics",16673,289,77,6.732,16.364,Springer Nature
Nature Reviews Cardiology,56.1,"99.0%
1/397
Cardiology and Cardiovascular Medicine",17783,317,79,8.151,10.662,Springer Nature
International Journal of Information Management,54.9,"99.0%
1/507
Computer Networks and Communications",21368,389,97,6.932,6.26,Elsevier
Nature Photonics,53.6,"99.0%
2/232
Atomic and Molecular Physics, and Optics",29880,557,94,7.198,11.546,Springer Nature
The Lancet Respiratory Medicine,53.2,"99.0%
1/159
Pulmonary and Respiratory Medicine",26389,496,86,6.837,6.788,Elsevier
Nano-Micro Letters,53.1,"99.0%
4/970
Electrical and Electronic Engineering",49670,935,98,3.856,8.188,Open Access Science Online
ACM Computing Surveys,51.6,"99.0%
1/136
Theoretical Computer Science",58562,1135,91,11.033,5.797,Association for Computing Machinery
The Lancet Gastroenterology and Hepatology,51.1,"99.0%
2/173
Gastroenterology",16559,324,94,8.487,11.398,Elsevier
Joule,50.8,"99.0%
1/78
General Energy",36030,709,94,4.67,10.868,Elsevier
The Lancet Oncology,50.8,"98.0%
7/415
Oncology",42832,843,84,10.225,11.319,Elsevier
Nature Electronics,49.1,"99.0%
1/174
Instrumentation",20608,420,91,6.327,11.082,Springer Nature
Nature Methods,49.0,"99.0%
2/441
Biochemistry",39661,809,86,8.395,17.251,Springer Nature
Nature Biomedical Engineering,49.0,"99.0%
1/947
Computer Science Applications",22895,467,90,5.082,10.105,Springer Nature
Journal of Hepatology,48.5,"97.0%
3/87
Hepatology",41603,857,96,6.249,10.575,Elsevier
Science,48.4,"98.0%
3/200
",235433,4865,80,6.623,10.416,American Association for the Advancement of Science
Molecular Cancer,47.4,"99.0%
2/177
Molecular Medicine",30306,640,91,5.233,9.263,Springer Nature
European Urology,47.2,"99.0%
1/121
Urology",20453,433,98,8.127,8.529,Elsevier
Gut,46.7,"98.0%
3/173
Gastroenterology",37869,811,96,4.788,8.874,BMJ Publishing Group
Cell Metabolism,45.5,"99.0%
2/190
Physiology",27966,614,95,4.912,11.989,Elsevier
Circulation,45.1,"99.0%
2/397
Cardiology and Cardiovascular Medicine",69704,1544,85,8.297,8.668,Wolters Kluwer Health
Nature Genetics,45.1,"99.0%
3/348
Genetics",36837,816,89,6.642,16.586,Springer Nature
The Lancet Psychiatry,44.3,"99.0%
2/580
Psychiatry and Mental Health",15402,348,86,7.935,7.458,Elsevier
Energy and Environmental Science,44.0,"99.0%
1/150
Environmental Chemistry",83569,1899,85,4.098,10.529,Royal Society of Chemistry
Environmental Chemistry Letters,42.8,"99.0%
2/150
Environmental Chemistry",29047,679,96,3.878,3.929,Springer Nature
The Lancet Infectious Diseases,42.6,"99.0%
2/357
Infectious Diseases",36961,868,84,5.657,5.446,Elsevier
Nature Climate Change,42.2,"99.0%
1/674
Social Sciences (miscellaneous)",26956,639,88,6.174,8.046,Springer Nature
Nature Sustainability,42.1,"99.0%
1/841
Geography, Planning and Development",25190,598,91,5.343,7.292,Springer Nature
Immunity,40.8,"99.0%
3/357
Infectious Diseases",29731,728,93,4.01,12.163,Elsevier
Advanced Energy Materials,40.7,"99.0%
5/460
General Materials Science",139604,3433,94,3.282,8.378,John Wiley & Sons
European Heart Journal,40.3,"99.0%
3/397
Cardiology and Cardiovascular Medicine",77760,1931,82,8.867,4.987,Oxford University Press
Gastroenterology,39.5,"97.0%
4/173
Gastroenterology",37736,955,93,5.039,7.195,Elsevier
Morbidity and Mortality Weekly Report,39.4,"99.0%
3/376
Health (social science)",40938,1039,86,4.82,9.559,Department of Health and Human Services
Advanced Materials,39.4,"99.0%
4/720
Mechanical Engineering",359831,9137,91,3.874,8.851,John Wiley & Sons
Journal of Clinical Oncology,38.9,"97.0%
9/415
Oncology",64692,1661,92,5.983,11.205,Wolters Kluwer Health
Coordination Chemistry Reviews,38.2,"99.0%
1/187
Physical and Theoretical Chemistry",71234,1867,96,3.538,4.638,Elsevier
Nature Immunology,38.2,"98.0%
4/240
Immunology",27201,712,86,3.81,10.39,Springer Nature
Renewable and Sustainable Energy Reviews,38.0,"98.0%
6/297
Renewable Energy, Sustainability and the Environment",144775,3808,97,4.077,3.901,Elsevier
Nature Machine Intelligence,37.6,"99.0%
3/507
Computer Networks and Communications",18057,480,88,5.736,5.876,Springer Nature
Bioactive Materials,36.2,"98.0%
4/314
Biotechnology",58426,1615,94,2.833,4.075,KeAi Communications Co.
Cellular and Molecular Immunology,36.2,"99.0%
4/357
Infectious Diseases",18475,511,92,3.291,5.916,Springer Nature
Advanced Drug Delivery Reviews,36.0,"99.0%
1/185
Pharmaceutical Science",30989,862,97,2.485,3.721,Elsevier
Materials Today,35.8,"99.0%
5/720
Mechanical Engineering",24401,682,90,3.41,5.755,Elsevier
Cell Host and Microbe,35.4,"99.0%
1/86
Virology",20617,583,91,2.763,7.067,Elsevier
Nature Neuroscience,35.4,"99.0%
1/111
General Neuroscience",25282,715,90,4.705,11.197,Springer Nature
Journal of the American College of Cardiology,35.1,"99.0%
4/397
Cardiology and Cardiovascular Medicine",44634,1273,96,6.304,9.015,Elsevier
IEEE Transactions on Pattern Analysis and Machine Intelligence,35.0,"99.0%
1/665
Applied Mathematics",96569,2760,90,5.988,3.91,IEEE
Journal of Thoracic Oncology,34.9,"99.0%
2/159
Pulmonary and Respiratory Medicine",15920,456,98,4.492,7.948,Elsevier
Trends in Food Science and Technology,34.2,"99.0%
3/404
Food Science",52917,1549,93,3.713,3.247,Elsevier
IEEE Journal on Selected Areas in Communications,33.6,"99.0%
7/970
Electrical and Electronic Engineering",32554,969,96,4.914,7.023,IEEE
Annals of the Rheumatic Diseases,33.2,"99.0%
1/76
Rheumatology",24283,731,94,4.435,5.731,Elsevier
Cell Stem Cell,32.9,"98.0%
4/348
Genetics",16701,507,93,3.29,9.313,Elsevier
JAMA Oncology,32.6,"96.0%
13/415
Oncology",22201,681,86,5.054,8.377,American Medical Association
Energy Storage Materials,31.8,"98.0%
5/299
Energy Engineering and Power Technology",78305,2463,90,2.597,5.791,Elsevier
The Lancet Global Health,31.8,"99.0%
7/668
General Medicine",19496,613,95,6.707,5.87,Elsevier
Nucleic Acids Research,31.7,"98.0%
5/348
Genetics",162199,5109,88,4.714,7.776,Oxford University Press
Advanced Composites and Hybrid Materials,31.7,"99.0%
2/167
Polymers and Plastics",27109,854,87,2.296,3.214,Springer Nature
JAMA Psychiatry,31.4,"99.0%
4/580
Psychiatry and Mental Health",15561,496,91,4.919,5.755,American Medical Association
Nature Human Behaviour,31.0,"99.0%
1/169
Experimental and Cognitive Psychology",20973,676,89,5.296,5.537,Springer Nature
JAMA Neurology,31.0,"99.0%
3/400
Neurology (clinical)",16981,547,82,5.414,6.237,American Medical Association
JAMA,30.8,"98.0%
8/668
General Medicine",73093,2375,68,10.71,5.352,American Medical Association
Accounts of Chemical Research,30.7,"98.0%
7/404
General Chemistry",38196,1245,93,3.217,5.433,American Chemical Society
Diabetes Care,30.5,"99.0%
1/69
Advanced and Specialized Nursing",40683,1333,92,4.846,6.566,American Diabetes Association Inc.
Nano Energy,30.4,"99.0%
8/970
Electrical and Electronic Engineering",132882,4366,92,2.252,4.566,Elsevier
Neuro-Oncology,30.2,"99.0%
4/400
Neurology (clinical)",21201,702,91,4.888,6.974,Oxford University Press
Light: Science and Applications,30.1,"98.0%
5/232
Atomic and Molecular Physics, and Optics",30782,1023,88,4.549,5.018,Springer Nature
Advances in Colloid and Interface Science,29.7,"98.0%
3/187
Physical and Theoretical Chemistry",19155,644,93,3.422,3.09,Elsevier
Hepatology,29.7,"94.0%
5/87
Hepatology",35891,1210,92,3.518,5.557,Wolters Kluwer Health
ACS Energy Letters,29.6,"98.0%
2/124
Chemistry (miscellaneous)",63694,2155,89,2.619,6.799,American Chemical Society
Journal of Manufacturing Systems,29.4,"99.0%
1/224
Hardware and Architecture",26363,897,88,4.179,3.633,Elsevier
Nature Physics,29.1,"98.0%
5/246
General Physics and Astronomy",28747,987,88,4.364,7.125,Springer Nature
Nature Metabolism,29.0,"98.0%
3/171
Internal Medicine",15853,547,88,3.294,7.529,Springer Nature
JAMA Pediatrics,28.7,"99.0%
1/342
Pediatrics, Perinatology and Child Health",15075,525,87,5.047,5.085,American Medical Association
Biomaterials,28.5,"99.0%
1/152
Biophysics",52850,1857,98,1.783,2.998,Elsevier
IEEE/CAA Journal of Automatica Sinica,28.2,"99.0%
3/474
Information Systems",19061,675,89,4.047,3.863,IEEE
Nature Chemistry,28.1,"99.0%
3/274
General Chemical Engineering",22532,803,91,3.422,6.71,Springer Nature
Science Translational Medicine,27.9,"98.0%
9/668
General Medicine",34631,1242,91,2.662,6.722,American Association for the Advancement of Science
Advanced Functional Materials,27.7,"98.0%
7/443
Condensed Matter Physics",326792,11790,91,2.588,5.439,John Wiley & Sons
Angewandte Chemie - International Edition,27.6,"97.0%
10/404
General Chemistry",398481,14433,92,2.465,5.55,John Wiley & Sons
Journal of Energy Chemistry,27.1,"97.0%
7/299
Energy Engineering and Power Technology",71260,2627,96,1.886,3.394,Elsevier
Chem,27.0,"99.0%
1/76
Biochemistry (medical)",22611,838,92,2.539,6.01,Elsevier
Science Immunology,26.9,"97.0%
7/231
Immunology and Allergy",18345,683,83,2.349,8.22,American Association for the Advancement of Science
Medical Image Analysis,26.6,"99.0%
1/346
Radiology, Nuclear Medicine and Imaging",30626,1151,91,3.912,3.289,Elsevier
Tourism Management,26.5,"99.0%
1/309
Development",15095,570,95,3.745,4.146,Elsevier
Artificial Intelligence Review,26.3,"99.0%
1/1126
Language and Linguistics",29110,1106,89,5.112,3.01,Springer Nature
Technological Forecasting and Social Change,26.3,"99.0%
2/451
Business and International Management",76934,2927,92,3.255,3.472,Elsevier
Pharmacology and Therapeutics,26.2,"99.0%
1/275
Pharmacology (medical)",16458,627,95,2.769,3.8,Elsevier
Nature Geoscience,25.9,"99.0%
2/198
General Earth and Planetary Sciences",16771,648,88,4.032,5.138,Springer Nature
International Journal of Computer Vision,25.9,"98.0%
8/490
Software",19599,757,83,5.15,3.136,Springer Nature
Physical Review X,25.7,"97.0%
6/246
General Physics and Astronomy",23321,906,90,3.714,6.415,American Physical Society
IEEE Transactions on Cybernetics,25.7,"99.0%
4/375
Control and Systems Engineering",75247,2930,94,3.223,4.45,IEEE
Composites Part B: Engineering,25.6,"98.0%
5/402
Industrial and Manufacturing Engineering",66740,2607,94,2.673,2.961,Elsevier
Comprehensive Reviews in Food Science and Food Safety,25.5,"99.0%
4/404
Food Science",19638,769,87,3.343,2.935,John Wiley & Sons
Matter,25.4,"97.0%
13/460
General Materials Science",23586,930,91,2.227,4.804,Elsevier
Journal of Materials Science and Technology,25.4,"98.0%
3/175
Metals and Alloys",84357,3324,98,2.394,2.865,Chinese Society of Metals
Journal of Business Research,25.3,"98.0%
3/215
Marketing",82008,3243,92,3.348,3.499,Elsevier
Cancer Discovery,24.8,"96.0%
16/415
Oncology",32727,1322,64,4.12,7.283,American Association for Cancer Research Inc.
JAMA Internal Medicine,24.7,"97.0%
4/171
Internal Medicine",15547,630,83,3.982,4.623,American Medical Association
"Resources, Conservation and Recycling",24.7,"99.0%
1/731
Economics and Econometrics",54240,2196,93,2.618,2.872,Elsevier
IEEE Transactions on Neural Networks and Learning Systems,24.7,"99.0%
5/507
Computer Networks and Communications",84362,3413,96,4.214,3.686,IEEE
JNCCN Journal of the National Comprehensive Cancer Network,24.7,"96.0%
17/415
Oncology",15878,643,74,5.17,5.514,Harborside Press
Journal of Hazardous Materials,24.6,"99.0%
2/219
Environmental Engineering",305836,12433,88,2.105,3.078,Elsevier
Acta Pharmaceutica Sinica B,24.3,"99.0%
1/77
General Pharmacology, Toxicology and Pharmaceutics",28113,1158,91,2.465,3.489,Chinese Academy of Medical Sciences
ACS Nano,24.2,"99.0%
1/344
General Engineering",194482,8028,86,2.341,4.497,American Chemical Society
Circulation Research,24.2,"98.0%
7/397
Cardiology and Cardiovascular Medicine",20982,868,87,3.623,4.897,Wolters Kluwer Health
Information Fusion,24.1,"99.0%
2/224
Hardware and Architecture",25832,1073,91,4.604,4.128,Elsevier
Carbohydrate Polymers,24.0,"98.0%
4/212
Organic Chemistry",114543,4766,95,2.03,2.004,Elsevier
Theranostics,23.9,"99.0%
4/433
Medicine (miscellaneous)",40343,1686,88,2.179,3.37,Ivyspring International Publisher
American Journal of Respiratory and Critical Care Medicine,23.8,"98.0%
2/118
Critical Care and Intensive Care Medicine",23517,990,88,3.861,5.076,American Thoracic Society
Business Strategy and the Environment,23.7,"99.0%
2/841
Geography, Planning and Development",30608,1293,88,3.191,3.609,John Wiley & Sons
Computers and Education,23.7,"99.0%
4/1620
Education",15293,645,93,4.176,3.343,Elsevier
Critical Reviews in Food Science and Nutrition,23.5,"98.0%
6/404
Food Science",47109,2003,99,2.536,2.2,Taylor & Francis
Cement and Concrete Research,23.5,"99.0%
2/239
Building and Construction",24428,1040,93,3.389,5.815,Elsevier
Nature Communications,23.4,"97.0%
5/200
",764101,32699,87,3.15,4.761,Springer Nature
Allergy: European Journal of Allergy and Clinical Immunology,23.0,"95.0%
10/231
Immunology and Allergy",18819,819,93,3.013,3.622,John Wiley & Sons
Blood,23.0,"98.0%
9/441
Biochemistry",46444,2016,89,3.467,5.823,Elsevier
European Respiratory Journal,23.0,"97.0%
5/159
Pulmonary and Respiratory Medicine",23470,1019,91,3.465,4.502,European Respiratory Society
Journal of Retailing and Consumer Services,22.7,"97.0%
5/215
Marketing",35837,1578,93,2.992,3.439,Elsevier
Journal of Magnesium and Alloys,22.7,"98.0%
4/175
Metals and Alloys",22228,978,92,3.104,3.282,KeAi Communications Co.
Remote Sensing of Environment,22.6,"99.0%
1/330
Geology",41344,1831,91,3.28,3.972,Elsevier
Journal of the American Chemical Society,22.5,"97.0%
11/441
Biochemistry",251270,11184,88,2.61,5.554,American Chemical Society
Sustainable Production and Consumption,22.5,"98.0%
4/219
Environmental Engineering",33212,1474,88,2.404,2.588,Elsevier
IEEE Transactions on Image Processing,22.5,"98.0%
3/127
Computer Graphics and Computer-Aided Design",50208,2230,88,3.407,2.502,IEEE
IEEE Transactions on Industrial Informatics,22.5,"98.0%
6/375
Control and Systems Engineering",88428,3922,89,3.223,3.416,IEEE
Cement and Concrete Composites,22.5,"98.0%
3/239
Building and Construction",36273,1612,94,2.829,4.446,Elsevier
Sustainable Cities and Society,22.4,"99.0%
1/407
Civil and Structural Engineering",74232,3316,91,2.509,2.869,Elsevier
Neuron,22.1,"95.0%
5/111
General Neuroscience",25478,1155,89,2.952,6.755,Elsevier
Journal of Advanced Research,22.1,"97.0%
6/200
",15394,698,97,2.516,2.576,Elsevier
Journal of Experimental Medicine,22.1,"95.0%
11/231
Immunology and Allergy",19292,874,90,1.993,5.834,Rockefeller University Press
Molecular Psychiatry,22.1,"98.0%
9/580
Psychiatry and Mental Health",39594,1791,94,2.523,4.022,Springer Nature
European Journal of Heart Failure,22.0,"98.0%
8/397
Cardiology and Cardiovascular Medicine",16011,728,94,2.969,5.559,John Wiley & Sons
Technology in Society,21.9,"99.0%
2/1497
Sociology and Political Science",25687,1174,89,2.969,2.559,Elsevier
ISME Journal,21.8,"99.0%
4/731
Ecology, Evolution, Behavior and Systematics",22076,1012,87,2.63,3.973,Oxford University Press
Food Hydrocolloids,21.7,"98.0%
7/404
Food Science",82268,3789,95,2.429,2.837,Elsevier
Energy Economics,21.7,"99.0%
7/731
Economics and Econometrics",53584,2468,87,2.715,3.919,Elsevier
Journal of Allergy and Clinical Immunology,21.7,"95.0%
12/231
Immunology and Allergy",26416,1216,93,2.557,3.935,Elsevier
Arthritis and Rheumatology,21.4,"95.0%
4/76
Rheumatology",16616,776,92,2.788,3.784,John Wiley & Sons
Kidney International,21.4,"97.0%
3/91
Nephrology",17175,801,87,3.623,4.13,Elsevier
Carbon,21.4,"95.0%
19/460
General Materials Science",76024,3551,92,1.759,2.32,Elsevier
Cardiovascular Research,21.3,"97.0%
9/397
Cardiology and Cardiovascular Medicine",19046,894,90,2.657,3.947,Oxford University Press
Water Research,21.2,"99.0%
2/407
Civil and Structural Engineering",111001,5245,91,2.363,3.843,Elsevier
IEEE Transactions on Smart Grid,21.1,"96.0%
8/239
General Computer Science",36569,1735,94,3.024,4.608,IEEE
IEEE Transactions on Sustainable Energy,21.1,"94.0%
18/297
Renewable Energy, Sustainability and the Environment",17128,811,92,3.215,4.261,IEEE
Clinical Infectious Diseases,21.0,"97.0%
11/357
Infectious Diseases",71223,3399,93,2.01,2.992,Oxford University Press
Earth-Science Reviews,20.9,"98.0%
4/198
General Earth and Planetary Sciences",23519,1123,90,3.628,3.463,Elsevier
Automation in Construction,20.9,"99.0%
3/407
Civil and Structural Engineering",43215,2064,88,3.448,2.89,Elsevier
Biosensors and Bioelectronics,20.9,"98.0%
3/152
Biophysics",67744,3237,94,1.606,2.007,Elsevier
PLOS Medicine,20.8,"98.0%
12/668
General Environmental Science",393051,18950,92,2.231,2.174,Elsevier
Computers in Human Behavior,20.7,"99.0%
1/630
Arts and Humanities (miscellaneous)",31058,1500,91,3.354,2.923,Elsevier
Bioresource Technology,20.7,"97.0%
6/219
Environmental Engineering",134379,6491,91,1.777,2.395,Elsevier
International Journal of Hospitality Management,20.7,"98.0%
10/496
Strategy and Management",20433,988,86,2.595,2.731,Elsevier
Chemical Engineering Journal,20.6,"97.0%
7/274
General Chemical Engineering",627417,30503,85,1.846,2.696,Elsevier
Ageing Research Reviews,20.6,"99.0%
2/194
Neurology",20834,1011,88,2.961,4.216,Elsevier
Earth System Science Data,20.6,"97.0%
5/198
General Earth and Planetary Sciences",22180,1079,86,3.814,4.066,Copernicus Publications
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",20.5,"98.0%
8/375
Control and Systems Engineering",54492,2663,89,2.645,3.254,IEEE
BMJ,20.4,"98.0%
13/668
General Medicine",84838,4167,48,9.446,2.976,BMJ Publishing Group
Brain,20.4,"98.0%
7/400
Neurology (clinical)",27746,1358,94,2.854,4.72,Oxford University Press
npj Digital Medicine,20.3,"98.0%
3/153
Health Informatics",17085,842,79,4.008,4.164,Springer Nature
Science Bulletin,20.3,"96.0%
7/200
",23563,1159,89,2.24,2.614,Elsevier
International Journal of Production Economics,20.2,"99.0%
2/225
General Business, Management and Accounting",23028,1139,88,2.668,2.833,Elsevier
Journal of Experimental and Clinical Cancer Research,20.2,"95.0%
20/415
Oncology",24488,1212,91,2.009,3.328,Springer Nature
Molecular Therapy,20.1,"97.0%
9/321
Pharmacology",19922,991,92,1.82,4.008,Elsevier
Applied Energy,20.1,"98.0%
5/406
Management, Monitoring, Policy and Law",135329,6726,93,2.512,2.902,Elsevier
Additive Manufacturing,20.0,"98.0%
4/264
Engineering (miscellaneous)",51663,2581,89,2.496,2.877,Elsevier
PRX Quantum,20.0,"99.0%
1/89
Mathematical Physics",17505,876,91,2.746,5.341,American Physical Society
IEEE Transactions on Fuzzy Systems,20.0,"99.0%
6/665
Applied Mathematics",34481,1726,86,2.795,3.614,IEEE
Energy Conversion and Management,19.8,"98.0%
2/80
Nuclear Energy and Engineering",94703,4787,92,2.261,2.659,Elsevier
Environment International,19.7,"98.0%
5/240
General Environmental Science",55475,2820,87,2.332,3.145,Elsevier
ISPRS Journal of Photogrammetry and Remote Sensing,19.6,"98.0%
2/76
Computers in Earth Sciences",21331,1087,88,3.069,3.48,Elsevier
Nano Today,19.6,"98.0%
3/185
Pharmaceutical Science",23189,1185,84,1.628,2.962,Elsevier
Science Advances,19.6,"96.0%
8/200
",168617,8602,87,2.636,4.324,American Association for the Advancement of Science
Journal of Clinical Investigation,19.6,"97.0%
14/668
General Medicine",41740,2132,87,2.174,4.721,American Society for Clinical Investigation
National Science Review,19.5,"95.0%
9/200
",21653,1112,88,2.481,2.903,Oxford University Press
Journal of Controlled Release,19.4,"98.0%
4/185
Pharmaceutical Science",50911,2625,89,1.68,2.47,Elsevier
ACS Central Science,19.3,"96.0%
9/274
General Chemical Engineering",15659,810,86,1.923,3.286,American Chemical Society
IEEE Transactions on Robotics,19.3,"97.0%
27/970
Electrical and Electronic Engineering",18070,934,89,4.437,2.965,IEEE
Nature Ecology and Evolution,19.3,"99.0%
7/731
Ecology, Evolution, Behavior and Systematics",15613,808,81,3.641,4.357,Springer Nature
Radiology,19.2,"99.0%
3/346
Radiology, Nuclear Medicine and Imaging",24782,1289,88,3.548,3.856,Radiological Society of North America Inc.
Energy Policy,19.1,"98.0%
7/406
Management, Monitoring, Policy and Law",38347,2005,91,2.2,2.692,Elsevier
Reliability Engineering and System Safety,19.1,"98.0%
3/235
Safety, Risk, Reliability and Quality",49918,2618,94,2.84,2.647,Elsevier
Clinical Cancer Research,19.0,"94.0%
24/415
Oncology",43833,2312,89,1.973,4.8,American Association for Cancer Research Inc.
TrAC - Trends in Analytical Chemistry,18.6,"99.0%
1/79
Spectroscopy",28580,1534,89,2.291,2.089,Elsevier
Engineering with Computers,18.6,"99.0%
1/361
Modeling and Simulation",21533,1158,91,1.629,1.11,Springer Nature
Information Processing and Management,18.6,"99.0%
1/69
Media Technology",21720,1168,91,2.906,2.062,Elsevier
Pharmacological Research,18.6,"96.0%
11/321
Pharmacology",33120,1785,89,2.026,2.664,Elsevier
Journal of Colloid and Interface Science,18.5,"95.0%
6/132
Surfaces, Coatings and Films",160551,8671,94,1.324,1.885,Elsevier
Leukemia,18.5,"94.0%
8/142
Hematology",21456,1161,90,2.466,3.458,Springer Nature
IEEE Transactions on Medical Imaging,18.3,"97.0%
2/64
Radiological and Ultrasound Technology",24091,1316,91,2.997,2.629,IEEE
Food Chemistry,18.3,"98.0%
3/160
Analytical Chemistry",220478,12033,92,2.153,1.952,Elsevier
