Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Gut Microbes,18.2,"97.0%
5/173
Gastroenterology",20211,1108,86,2.188,3.609,Taylor & Francis
Clinical Gastroenterology and Hepatology,18.2,"96.0%
6/173
Gastroenterology",24041,1321,85,2.893,3.509,Elsevier
Environmental Science and Technology,18.1,"93.0%
25/404
General Chemistry",129285,7144,87,2.126,3.69,American Chemical Society
Chemosphere,18.1,"99.0%
7/687
Public Health, Environmental and Occupational Health",272852,15055,89,1.544,1.896,Elsevier
Mechanical Systems and Signal Processing,18.0,"99.0%
2/157
Aerospace Engineering",71818,3986,93,2.794,2.636,Elsevier
Cancer Research,17.8,"93.0%
26/415
Oncology",28120,1582,90,1.695,3.879,American Association for Cancer Research Inc.
Journal for ImmunoTherapy of Cancer,17.8,"96.0%
13/321
Pharmacology",34264,1928,87,1.745,4.22,BMJ Publishing Group
IEEE Transactions on Intelligent Transportation Systems,17.8,"98.0%
2/133
Automotive Engineering",95995,5383,86,2.906,2.589,IEEE
Acta Biomaterialia,17.8,"95.0%
14/323
Biomedical Engineering",45329,2550,90,1.574,2.007,Acta Materialia Inc
Ultrasonics Sonochemistry,17.7,"99.0%
1/51
Acoustics and Ultrasonics",30572,1730,89,2.036,1.823,Elsevier
ACM Transactions on Graphics,17.7,"97.0%
4/127
Computer Graphics and Computer-Aided Design",19774,1116,82,3.063,2.965,Association for Computing Machinery
Biomaterials Advances,17.7,"95.0%
15/323
Biomedical Engineering",39239,2215,95,1.149,1.216,Elsevier
Renewable Energy,17.6,"98.0%
7/344
General Engineering",130366,7425,88,2.035,2.08,Elsevier
Plant Biotechnology Journal,17.5,"99.0%
3/414
Agronomy and Crop Science",16996,969,92,2.183,2.907,John Wiley & Sons
New Phytologist,17.5,"98.0%
9/534
Plant Science",48303,2755,90,2.421,3.293,John Wiley & Sons
International Journal of Production Research,17.3,"97.0%
7/218
Management Science and Operations Research",27594,1597,93,2.563,2.242,Taylor & Francis
IEEE Transactions on Wireless Communications,17.3,"99.0%
7/665
Applied Mathematics",57515,3325,84,3.255,4.454,IEEE
Sustainable Energy Technologies and Assessments,17.3,"95.0%
13/299
Energy Engineering and Power Technology",49244,2845,92,1.713,1.606,Elsevier
CCS Chemistry,17.1,"93.0%
26/404
General Chemistry",18053,1055,95,1.276,2.624,Chinese Chemical Society
Future Generation Computer Systems,17.1,"97.0%
5/224
Hardware and Architecture",27918,1628,89,2.227,1.551,Elsevier
Journal of Membrane Science,17.1,"97.0%
1/19
Filtration and Separation",63394,3713,93,1.396,1.935,Elsevier
eBioMedicine,17.1,"97.0%
18/668
General Medicine",30937,1808,87,2.024,3.591,Elsevier
Nano Research,17.1,"97.0%
11/443
Condensed Matter Physics",67192,3918,91,1.269,2.367,Tsinghua University Press
International Journal of Plasticity,17.1,"97.0%
18/720
Mechanical Engineering",15065,883,91,2.615,3.531,Elsevier
Materials Today Physics,17.1,"98.0%
2/87
Physics and Astronomy (miscellaneous)",19910,1166,89,1.71,2.278,Elsevier
Fuel Processing Technology,17.0,"96.0%
11/274
General Chemical Engineering",19945,1170,96,1.563,1.602,Elsevier
IEEE Transactions on Communications,17.0,"96.0%
34/970
Electrical and Electronic Engineering",36848,2162,90,2.616,3.492,IEEE
IEEE Transactions on Intelligent Vehicles,17.0,"98.0%
3/160
Control and Optimization",15356,905,95,3.216,2.821,IEEE
eClinicalMedicine,17.0,"97.0%
19/668
General Medicine",33086,1951,86,2.737,3.633,Elsevier
Resources Policy,17.0,"99.0%
3/1105
Law",53896,3177,89,1.948,2.381,Elsevier
Oxidative Medicine and Cellular Longevity,16.9,"95.0%
22/441
Biochemistry",39269,2324,98,1.387,1.673,John Wiley & Sons
Composites Science and Technology,16.8,"97.0%
9/344
General Engineering",32587,1944,91,1.817,1.894,Elsevier
Journal of Nanobiotechnology,16.8,"97.0%
11/433
Medicine (miscellaneous)",37067,2200,84,1.596,2.282,Springer Nature
Environmental Impact Assessment Review,16.8,"98.0%
10/841
Geography, Planning and Development",16454,982,92,2.179,2.681,Elsevier
IEEE Transactions on Industrial Electronics,16.8,"96.0%
36/970
Electrical and Electronic Engineering",88598,5285,93,2.932,3.006,IEEE Industrial Electronics Society
Journal of Materials Chemistry A,16.7,"93.0%
27/404
General Chemistry",157401,9410,84,1.335,2.462,Royal Society of Chemistry
Materials Today Energy,16.7,"96.0%
3/80
Nuclear Energy and Engineering",17797,1067,89,1.292,2.116,Elsevier
Proceedings of the National Academy of Sciences of the United States of America,16.5,"95.0%
10/200
",226600,13719,87,2.383,3.414,National Academy of Sciences
Energy,16.5,"99.0%
2/361
Modeling and Simulation",235823,14307,88,2.164,2.211,Elsevier
Science of the Total Environment,16.4,"94.0%
12/219
Environmental Engineering",558057,34000,88,1.835,2.137,Elsevier
European Journal of Nuclear Medicine and Molecular Imaging,16.4,"98.0%
6/346
Radiology, Nuclear Medicine and Imaging",24263,1479,91,1.925,2.392,Springer Nature
IEEE Internet of Things Journal,16.3,"97.0%
6/224
Hardware and Architecture",129924,7954,86,2.571,2.483,IEEE
Journal of Machine Learning Research,16.3,"99.0%
3/293
Statistics and Probability",16936,1040,88,3.069,2.019,Microtome Publishing
Small,16.1,"94.0%
19/314
Biotechnology",163984,10192,86,1.675,3.301,John Wiley & Sons
Astrophysical Journal Letters,16.1,"93.0%
7/103
Space and Planetary Science",42993,2668,88,2.034,3.713,American Astronomical Society
Green Chemistry,16.1,"93.0%
12/176
Pollution",55274,3431,88,1.672,1.928,Royal Society of Chemistry
Environmental Technology and Innovation,16.1,"98.0%
11/534
Plant Science",36647,2277,91,1.49,1.433,Elsevier
Environmental Pollution,16.0,"98.0%
3/131
Toxicology",137969,8626,89,1.578,2.205,Elsevier
Materials Horizons,15.9,"96.0%
38/970
Electrical and Electronic Engineering",25462,1597,79,1.679,2.885,Royal Society of Chemistry
American Journal of Transplantation,15.9,"98.0%
6/275
Pharmacology (medical)",17126,1080,90,1.715,2.439,Elsevier
IEEE Transactions on Power Systems,15.9,"96.0%
39/970
Electrical and Electronic Engineering",33221,2094,94,2.764,3.629,IEEE
Transportation Research Part C: Emerging Technologies,15.9,"97.0%
9/407
Civil and Structural Engineering",23397,1469,89,2.864,2.734,Elsevier
Briefings in Bioinformatics,15.8,"94.0%
25/474
Information Systems",44163,2790,85,1.718,2.39,Oxford University Press
Pattern Recognition,15.8,"95.0%
9/183
Signal Processing",44200,2802,89,2.669,2.058,Elsevier
Journal of King Saud University - Computer and Information Sciences,15.8,"95.0%
11/239
General Computer Science",25699,1624,88,2.459,1.357,Springer Nature
Plant Cell,15.7,"97.0%
12/534
General Chemistry",57724,3681,95,1.253,1.677,Elsevier
Sensors and Actuators B: Chemical,15.6,"97.0%
4/174
Instrumentation",106064,6813,92,1.332,1.509,Elsevier
Physical Review Letters,15.6,"94.0%
15/246
General Physics and Astronomy",141008,9064,88,2.412,2.856,American Physical Society
Journal of Neuroinflammation,15.6,"98.0%
4/194
Neurology",19372,1239,85,1.987,3.183,Springer Nature
Critical Care,15.6,"97.0%
4/118
Critical Care and Intensive Care Medicine",20386,1306,88,2.643,2.738,Springer Nature
Clinical Nutrition,15.5,"97.0%
4/144
Nutrition and Dietetics",22731,1470,91,2.017,2.212,Elsevier
Small Methods,15.5,"92.0%
31/404
General Chemistry",25729,1662,89,1.411,2.638,John Wiley & Sons
Neuroscience and Biobehavioral Reviews,15.5,"98.0%
2/90
Behavioral Neuroscience",25608,1649,90,2.617,3.076,Elsevier
IEEE Transactions on Circuits and Systems for Video Technology,15.4,"97.0%
2/69
Media Technology",40428,2627,85,2.888,1.858,IEEE
Annals of Internal Medicine,15.4,"95.0%
9/171
Internal Medicine",18348,1191,60,3.267,3.378,American College of Physicians
Cell Death and Disease,15.4,"93.0%
7/100
Cellular and Molecular Neuroscience",57507,3738,88,1.634,2.773,Springer Nature
Oncogene,15.4,"95.0%
16/348
Genetics",22078,1437,92,1.455,2.489,Springer Nature
Acta Materialia,15.4,"95.0%
9/175
Metals and Alloys",48330,3140,88,2.545,2.972,Acta Materialia Inc
IEEE Transactions on Power Electronics,15.3,"95.0%
43/970
Electrical and Electronic Engineering",80390,5246,90,2.788,3.083,IEEE
Journal of Environmental Sciences (China),15.2,"96.0%
9/240
General Environmental Science",24018,1576,97,1.411,1.673,Chinese Academy of Sciences
Journal of CO2 Utilization,15.2,"91.0%
8/91
Chemical Engineering (miscellaneous)",19820,1305,89,1.521,1.618,Elsevier
"Brain, Behavior, and Immunity",15.2,"97.0%
1/23
Endocrine and Autonomic Systems",17795,1168,87,1.708,2.704,Elsevier
Laser and Photonics Reviews,15.1,"96.0%
18/443
Condensed Matter Physics",21824,1441,89,2.413,2.679,John Wiley & Sons
Separation and Purification Technology,15.1,"95.0%
7/160
Analytical Chemistry",144607,9576,95,1.383,1.697,Elsevier
Computers and Electronics in Agriculture,15.1,"99.0%
1/126
Horticulture",50651,3363,87,2.349,1.834,Elsevier
International Journal of Biological Sciences,15.1,"97.0%
16/731
Ecology, Evolution, Behavior and Systematics",20915,1381,87,1.682,2.715,Ivyspring International Publisher
Waste Management,15.1,"89.0%
16/150
Waste Management and Disposal",31626,2101,90,1.732,1.726,Elsevier
Knowledge-Based Systems,15.0,"95.0%
10/190
Information Systems and Management",65757,4394,85,2.344,1.934,Elsevier
Transportation Research Part E: Logistics and Transportation Review,15.0,"97.0%
10/407
Civil and Structural Engineering",17839,1188,86,2.367,2.513,Elsevier
Expert Systems with Applications,15.0,"97.0%
10/344
General Engineering",141273,9435,89,2.548,1.854,Elsevier
Nano Letters,14.9,"97.0%
22/720
Mechanical Engineering",90646,6095,83,1.676,2.967,American Chemical Society
Journal of Power Sources,14.9,"95.0%
44/970
Electrical and Electronic Engineering",79593,5333,87,1.482,1.784,Elsevier
Materials and Design,14.9,"96.0%
23/720
Mechanical Engineering",61684,4150,88,1.847,1.727,Elsevier
Composite Structures,14.8,"97.0%
11/407
Civil and Structural Engineering",68228,4612,93,2.068,1.761,Elsevier
Composites Part A: Applied Science and Manufacturing,14.8,"95.0%
20/403
Mechanics of Materials",28571,1930,88,1.912,1.761,Elsevier
Advanced Healthcare Materials,14.8,"95.0%
8/185
Condensed Matter Physics",22155,1495,90,1.443,1.756,Springer Nature
Environmental Research,14.7,"98.0%
14/687
Public Health, Environmental and Occupational Health",131349,8965,89,1.561,1.822,Elsevier
British Journal of Cancer,14.7,"91.0%
34/415
Oncology",22242,1511,88,1.827,3.144,Springer Nature
Cell Reports Medicine,14.6,"96.0%
22/668
General Medicine",16023,1101,83,1.803,4.028,Elsevier
ACS Applied Materials and Interfaces,14.5,"91.0%
41/460
General Materials Science",321695,22250,85,1.264,1.921,American Chemical Society
Applied Soft Computing,14.5,"93.0%
33/490
Software",61646,4251,85,1.971,1.511,Elsevier
Land Use Policy,14.5,"98.0%
17/841
Geography, Planning and Development",28571,1975,92,1.978,1.894,Elsevier
Phytotherapy Research,14.4,"94.0%
17/321
Pharmacology",20192,1405,91,1.573,1.477,John Wiley & Sons
Journal of Business Ethics,14.4,"99.0%
6/1105
Law",18553,1292,92,3.01,3.039,Springer Nature
Information Sciences,14.4,"95.0%
18/375
Control and Systems Engineering",76118,5278,88,1.978,1.803,Elsevier
British Journal of Pharmacology,14.4,"95.0%
16/321
Pharmacology",15063,1043,90,1.51,2.344,John Wiley & Sons
Annals of Surgery,14.4,"99.0%
3/568
Surgery",28222,1956,91,2.407,2.593,Wolters Kluwer Health
Journal of Environmental Management,14.4,"94.0%
23/406
Management, Monitoring, Policy and Law",160879,11139,84,1.79,1.994,Elsevier
International Journal of Rock Mechanics and Mining Sciences,14.3,"99.0%
2/239
Geotechnical Engineering and Engineering Geology",15162,1057,87,2.471,2.481,Elsevier
Journal of Materials Processing Technology,14.3,"94.0%
11/175
Metals and Alloys",20355,1423,92,2.296,1.885,Elsevier
Desalination,14.3,"96.0%
9/279
Water Science and Technology",37555,2628,89,1.612,1.721,Elsevier
Engineering Geology,14.3,"99.0%
3/330
Geology",19996,1394,90,2.571,2.916,Elsevier
Building and Environment,14.3,"97.0%
18/841
Geography, Planning and Development",55831,3899,89,1.974,1.858,Elsevier
Fuel,14.2,"95.0%
11/212
Organic Chemistry",182617,12849,93,1.739,1.614,Elsevier
Horticulture Research,14.2,"98.0%
2/126
Horticulture",15966,1122,90,2.12,2.354,Oxford University Press
American Journal of Obstetrics and Gynecology,14.2,"98.0%
3/210
Obstetrics and Gynecology",19623,1384,87,2.754,2.772,Elsevier
Transportation Research Part D: Transport and Environment,14.2,"96.0%
13/407
Civil and Structural Engineering",20431,1437,87,2.328,2.301,Elsevier
International Journal of Mechanical Sciences,14.2,"98.0%
10/665
Applied Mathematics",41129,2898,91,2.204,2.188,Elsevier
"Astrophysical Journal, Supplement Series",14.1,"92.0%
8/103
Space and Planetary Science",16565,1175,86,2.276,3.344,American Astronomical Society
Food Control,14.1,"96.0%
14/404
Food Science",39697,2817,93,1.558,1.265,Elsevier
Corrosion Science,14.1,"94.0%
16/274
General Chemical Engineering",41995,2970,89,2.175,2.189,Elsevier
Computer Physics Communications,14.0,"95.0%
10/224
Hardware and Architecture",17886,1274,82,3.343,1.946,Elsevier
Cancer Letters,13.9,"90.0%
38/415
Oncology",20978,1504,88,1.544,2.756,Elsevier
Construction and Building Materials,13.9,"96.0%
9/239
Building and Construction",233395,16845,87,2.084,2.094,Elsevier
JAMA Network Open,13.8,"96.0%
25/668
General Medicine",102004,7387,84,2.696,3.546,American Medical Association
Interactive Learning Environments,13.8,"98.0%
25/1620
Education",15178,1101,88,2.978,1.976,Taylor & Francis
Science China Chemistry,13.8,"91.0%
36/404
General Chemistry",16749,1217,85,1.252,2.377,Science China Press
Soil and Tillage Research,13.6,"98.0%
8/414
Agronomy and Crop Science",16278,1199,93,2.045,1.854,Elsevier
Neurocomputing,13.6,"96.0%
5/121
Cognitive Neuroscience",69797,5137,86,1.943,1.471,Elsevier
IEEE Transactions on Geoscience and Remote Sensing,13.6,"96.0%
7/198
General Earth and Planetary Sciences",116488,8539,82,2.369,2.397,IEEE
Cardiovascular Diabetology,13.6,"96.0%
16/397
Cardiology and Cardiovascular Medicine",17386,1276,84,2.364,3.353,Springer Nature
Energy Research and Social Science,13.6,"99.0%
7/674
Social Sciences (miscellaneous)",19988,1469,87,2.024,2.53,Elsevier
Alzheimer's and Dementia,13.6,"98.0%
1/37
Developmental Neuroscience",24470,1797,74,2.9,3.6,John Wiley & Sons
LWT,13.6,"96.0%
16/404
Food Science",91109,6696,87,1.587,1.48,Elsevier
International Journal of Applied Earth Observation and Geoinformation,13.5,"97.0%
5/183
Earth-Surface Processes",26791,1979,84,2.214,2.241,Elsevier
IEEE Journal of Biomedical and Health Informatics,13.5,"95.0%
8/153
Health Informatics",29360,2171,88,1.975,1.649,IEEE
Photonics Research,13.5,"92.0%
17/232
Atomic and Molecular Physics, and Optics",15811,1169,85,1.952,1.994,Optica Publishing Group (formerly OSA)
ACS Sensors,13.4,"99.0%
1/97
Fluid Flow and Transfer Processes",26375,1963,83,1.469,1.757,American Chemical Society
Applied Surface Science,13.4,"94.0%
23/443
Condensed Matter Physics",159550,11895,92,1.193,1.31,Elsevier
Urban Forestry and Urban Greening,13.4,"96.0%
6/175
Forestry",17306,1289,89,1.85,2.065,Elsevier
Ecological Indicators,13.3,"97.0%
19/731
Ecology, Evolution, Behavior and Systematics",79032,5934,87,1.738,1.959,Elsevier
Agricultural Water Management,13.3,"97.0%
9/414
Agronomy and Crop Science",31889,2395,89,1.873,1.757,Elsevier
Journal of Energy Storage,13.3,"94.0%
50/970
Electrical and Electronic Engineering",150797,11360,85,1.85,1.76,Elsevier
Computers and Security,13.3,"99.0%
7/1105
Law",20096,1516,91,2.268,1.445,Elsevier
International Journal of Hydrogen Energy,13.3,"94.0%
24/443
Condensed Matter Physics",211562,15946,86,1.777,1.685,Elsevier
Psychological Medicine,13.2,"96.0%
21/580
Psychiatry and Mental Health",22643,1718,91,1.847,2.424,Cambridge University Press
Materials Chemistry Frontiers,13.2,"91.0%
28/324
Materials Chemistry",21876,1654,90,0.954,1.444,Royal Society of Chemistry
European Journal of Operational Research,13.2,"98.0%
6/361
Modeling and Simulation",34140,2586,89,2.618,2.239,Elsevier
IEEE/ASME Transactions on Mechatronics,13.2,"94.0%
51/970
Electrical and Electronic Engineering",21142,1598,90,2.399,2.243,IEEE
Computers and Industrial Engineering,13.2,"96.0%
11/344
General Engineering",41880,3166,86,1.987,1.628,Elsevier
ChemSusChem,13.1,"93.0%
18/274
General Chemical Engineering",26170,1998,89,1.162,1.845,John Wiley & Sons
World Development,13.1,"98.0%
17/1497
Sociology and Political Science",15902,1210,86,2.553,2.161,Elsevier
IEEE Transactions on Network Science and Engineering,13.1,"93.0%
32/507
Computer Networks and Communications",18840,1435,84,2.042,1.941,IEEE
Advanced Engineering Informatics,13.1,"92.0%
38/474
Information Systems",20012,1530,83,2.484,1.993,Elsevier
Hypertension,13.1,"93.0%
11/171
Internal Medicine",15775,1203,88,2.101,2.788,Wolters Kluwer Health
FEBS Journal,13.1,"92.0%
33/441
Biochemistry",18951,1445,89,1.412,2.212,John Wiley & Sons
Tunnelling and Underground Space Technology,13.0,"96.0%
9/239
Geotechnical Engineering and Engineering Geology",26774,2055,89,2.533,2.269,Elsevier
International Journal of Electrical Power and Energy Systems,13.0,"94.0%
52/970
Electrical and Electronic Engineering",46561,3581,90,1.611,1.714,Elsevier
Stroke,13.0,"97.0%
2/69
Advanced and Specialized Nursing",24932,1921,84,2.524,2.659,Wolters Kluwer Health
Alexandria Engineering Journal,12.9,"96.0%
12/344
General Engineering",46441,3595,86,1.932,1.037,Elsevier
Geoderma,12.9,"94.0%
10/164
Soil Science",24672,1920,89,1.827,2.067,Elsevier
IEEE Transactions on Multimedia,12.9,"96.0%
3/69
Media Technology",29931,2313,87,2.36,1.521,IEEE
Safety Science,12.8,"97.0%
3/109
Safety Research",16107,1261,92,2.205,1.427,Elsevier
Saudi Journal of Biological Sciences,12.8,"97.0%
7/228
General Agricultural and Biological Sciences",24027,1874,94,1.462,0.88,Elsevier
IEEE Journal of Emerging and Selected Topics in Power Electronics,12.8,"94.0%
54/970
Electrical and Electronic Engineering",28534,2221,92,2.056,2.31,IEEE
Food Research International,12.8,"95.0%
18/404
Food Science",62663,4896,86,1.702,1.698,Elsevier
Biomedicine and Pharmacotherapy,12.8,"94.0%
19/321
Pharmacology",80505,6306,87,1.561,1.775,Elsevier
Advanced Optical Materials,12.7,"92.0%
19/232
Atomic and Molecular Physics, and Optics",49786,3908,87,1.496,1.995,John Wiley & Sons
Materials Science and Engineering: A,12.7,"95.0%
31/720
Mechanical Engineering",77371,6085,89,1.91,1.955,Elsevier
Journal of Medical Virology,12.7,"94.0%
19/357
Infectious Diseases",38452,3022,82,0.949,1.291,John Wiley & Sons
Chemical Science,12.6,"90.0%
40/404
General Chemistry",78708,6237,83,1.464,2.138,Royal Society of Chemistry
International Journal of Infectious Diseases,12.6,"94.0%
20/357
Infectious Diseases",27752,2195,88,1.195,1.323,Elsevier
Energy and Buildings,12.6,"95.0%
33/720
Mechanical Engineering",46627,3697,87,1.83,1.631,Elsevier
American Journal of Clinical Nutrition,12.6,"95.0%
22/433
Medicine (miscellaneous)",15012,1192,90,1.747,2.111,Elsevier
IEEE Transactions on Dependable and Secure Computing,12.6,"94.0%
58/970
Electrical and Electronic Engineering",15323,1217,85,2.553,1.755,IEEE
Solar Energy,12.6,"88.0%
52/460
General Materials Science",40908,3247,89,1.545,1.314,Elsevier
International Journal of Cancer,12.6,"90.0%
42/415
Oncology",20200,1601,88,1.761,2.252,John Wiley & Sons
Journal of Nuclear Medicine,12.6,"96.0%
11/346
Radiology, Nuclear Medicine and Imaging",16088,1276,80,1.903,2.224,Society of Nuclear Medicine Inc.
Process Safety and Environmental Protection,12.5,"95.0%
10/235
Safety, Risk, Reliability and Quality",50718,4069,85,1.709,1.473,Institution of Chemical Engineers
ACS Sustainable Chemistry and Engineering,12.5,"93.0%
19/274
General Chemical Engineering",81747,6527,87,1.254,1.623,American Chemical Society
ACS Materials Letters,12.5,"92.0%
20/274
General Chemical Engineering",16786,1344,81,1.429,2.655,American Chemical Society
"Agriculture, Ecosystems and Environment",12.5,"99.0%
5/509
Animal Science and Zoology",18963,1513,92,1.785,1.946,Elsevier
IEEE Transactions on Information Forensics and Security,12.5,"96.0%
9/235
Safety, Risk, Reliability and Quality",22632,1815,82,2.669,2.135,IEEE
IEEE Transactions on Transportation Electrification,12.5,"96.0%
5/133
Automotive Engineering",22970,1835,88,2.849,2.622,IEEE
Cellular and Molecular Life Sciences,12.5,"93.0%
22/321
Pharmacology",23618,1886,87,1.482,2.299,Springer Nature
Accident Analysis and Prevention,12.5,"99.0%
9/1105
Law",16948,1353,88,2.591,2.007,Elsevier
Journal of Environmental Chemical Engineering,12.5,"95.0%
15/344
General Engineering",128388,10300,83,1.286,1.454,Elsevier
Solar Energy Materials and Solar Cells,12.4,"90.0%
30/305
Electronic, Optical and Magnetic Materials",23805,1927,87,1.467,1.284,Elsevier
Composites Communications,12.4,"94.0%
24/403
Mechanics of Materials",16968,1365,87,1.215,1.416,Elsevier
Chest,12.4,"95.0%
20/397
Cardiology and Cardiovascular Medicine",20510,1655,77,1.826,1.834,Elsevier
ISA Transactions,12.3,"97.0%
15/665
Applied Mathematics",25011,2031,87,1.799,1.552,International Society of Automation
Ecotoxicology and Environmental Safety,12.3,"96.0%
22/687
Public Health, Environmental and Occupational Health",72671,5931,84,1.332,1.553,Elsevier
Ain Shams Engineering Journal,12.2,"94.0%
18/344
General Engineering",21670,1774,84,2.209,1.076,Ain Shams University
Journal of Cellular Physiology,12.1,"92.0%
14/190
Physiology",15923,1317,89,1.093,1.377,John Wiley & Sons
International Journal of Energy Research,12.1,"94.0%
5/80
Nuclear Energy and Engineering",42810,3533,92,1.018,0.873,John Wiley & Sons
Gas Science and Engineering,12.1,"95.0%
11/239
Geotechnical Engineering and Engineering Geology",16697,1381,92,1.704,1.246,Elsevier
Nanophotonics,12.1,"93.0%
67/970
Electrical and Electronic Engineering",17544,1452,91,1.686,1.765,Walter de Gruyter
IEEE Transactions on Vehicular Technology,12.1,"97.0%
5/157
Aerospace Engineering",64717,5365,86,2.071,2.156,IEEE
Applied Materials Today,12.1,"88.0%
55/460
General Materials Science",18725,1543,83,1.206,1.421,Elsevier
Cell Reports Physical Science,12.0,"94.0%
20/344
General Engineering",19705,1642,83,1.266,2.098,Elsevier
Chemistry of Materials,12.0,"90.0%
27/274
General Chemical Engineering",45666,3815,86,1.313,2.065,American Chemical Society
IEEE Transactions on Automatic Control,12.0,"93.0%
26/375
Control and Systems Engineering",34125,2837,87,2.586,3.804,IEEE
IEEE Transactions on Automation Science and Engineering,12.0,"92.0%
27/375
Control and Systems Engineering",15203,1267,90,2.567,1.918,IEEE
International Journal of Fatigue,12.0,"97.0%
9/361
Modeling and Simulation",25670,2135,91,2.155,1.835,Elsevier
IEEE Transactions on Signal Processing,11.9,"92.0%
72/970
Electrical and Electronic Engineering",18495,1558,83,2.359,2.054,IEEE
IEEE Transactions on Mobile Computing,11.9,"92.0%
71/970
Electrical and Electronic Engineering",24666,2069,82,2.384,2.332,IEEE
Journal of Ambient Intelligence and Humanized Computing,11.8,"90.0%
23/239
General Computer Science",24987,2114,88,1.319,0.834,Springer Nature
Education and Information Technologies,11.8,"97.0%
38/1620
Education",28739,2440,86,2.689,1.654,Springer Nature
Journal of Alloys and Compounds,11.8,"94.0%
38/720
Mechanical Engineering",224820,19043,88,1.253,1.192,Elsevier
Progress in Organic Coatings,11.8,"93.0%
14/212
Organic Chemistry",28657,2421,89,1.456,1.229,Elsevier
Chinese Journal of Aeronautics,11.8,"96.0%
6/157
Aerospace Engineering",17757,1511,86,2.449,1.44,Elsevier
Colloids and Surfaces B: Biointerfaces,11.8,"89.0%
20/187
Physical and Theoretical Chemistry",27850,2368,91,0.945,0.978,Elsevier
IEEE Systems Journal,11.8,"92.0%
28/375
Control and Systems Engineering",21808,1856,91,1.477,1.276,IEEE
Blood Advances,11.7,"91.0%
13/142
Hematology",26243,2250,88,1.659,2.901,American Society of Hematology
ACS Photonics,11.7,"92.0%
74/970
Electrical and Electronic Engineering",21563,1836,83,1.705,1.992,American Chemical Society
BMJ Global Health,11.7,"97.0%
9/320
Health Policy",18008,1541,85,2.121,2.451,BMJ Publishing Group
Journal of Experimental Botany,11.7,"96.0%
18/534
Plant Science",24117,2053,93,1.422,1.778,Oxford University Press
Neural Computing and Applications,11.7,"90.0%
49/490
Software",57424,4888,85,1.61,1.102,Springer Nature
Energy Reports,11.7,"81.0%
15/78
General Energy",77403,6591,90,1.393,1.172,Elsevier
