veg_class,igbp_class,igbp_value,root_depth_1,root_depth_2,root_depth_3,root_fract_1,root_fract_2,root_fract_3,overstory,RGL,veg_height
1,Evergreen Needleleaf Forests,1,0.1,0.6,1.1,0.35,0.51,0.14,1,30,17
2,Evergreen Broadleaf Forests,2,0.1,0.6,2.3,0.33,0.44,0.23,1,30,35
3,Deciduous Needleleaf Forests,3,0.1,0.6,1.3,0.34,0.5,0.16,1,30,15.5
4,Deciduous Broadleaf Forests,4,0.1,0.6,1.3,0.31,0.52,0.17,1,30,20.0
5,Mixed Forests,5,0.1,0.6,1.7,0.26,0.52,0.22,1,30,19.25
6,Closed Shrublands,6,0.1,0.6,1.8,0.30,0.49,0.21,1,100,0.6
7,Open Shrublands,7,0.1,0.6,2.4,0.33,0.43,0.24,0,100,0.51
8,Woody Savannas,8,0.1,0.6,1.0,0.37,0.5,0.13,0,100,0.51
9,Savannas,9,0.1,0.6,1.7,0.36,0.45,0.19,0,65,0.57
10,Grasslands,10,0.1,0.6,0.8,0.44,0.45,0.11,1,100,0.57
11,Permanent Wetlands,11,0.1,0.6,0.8,0.44,0.45,0.11,0,65,0.1
12,Croplands,12,0.1,0.6,0.8,0.33,0.55,0.12,0,100,0.55
13,Urban and Built-up Lands,13,0.1,0.6,0.8,0.44,0.45,0.11,0,999.0,6.017
14,Cropland/Natural Vegetation Mosaics,14,0.1,0.6,0.8,0.33,0.55,0.12,0,100,0.55
15,Permanent Snow and Ice,15,0.1,0.6,0.8,0.44,0.45,0.11,0,999,0.1
16,Barren,16,0.1,0.6,3.3,0.23,0.46,0.31,0,999,0.2
17,Water Bodies,17,0.1,0.6,0.8,0.44,0.45,0.11,0,30,0.1
18,Unclassified,255,0.1,0.6,0.8,0.44,0.45,0.11,0,30,0.1